team,net_transfer_spend,net_transfer_spend_scaled,season
Blackburn Rovers,9813000.0,3.40519477812288,1992-93
Sheffield Wednesday,3060000.0,1.0618461246363002,1992-93
Oldham Athletic,2384000.0,0.8272683533114181,1992-93
Wimbledon,2143000.0,0.743639295782873,1992-93
Aston Villa,1956000.0,0.6787486992773213,1992-93
Leeds United,1600000.0,0.5552136599405492,1992-93
Manchester United,1400000.0,0.4858119524479805,1992-93
Arsenal,1350000.0,0.46846152557483833,1992-93
Liverpool,1300000.0,0.45111109870169613,1992-93
Middlesbrough,1184000.0,0.41085810835600634,1992-93
Coventry City,970000.0,0.3365982813389579,1992-93
Ipswich Town,350000.0,0.12145298811199512,1992-93
Sheffield United,253000.0,0.08779315997809933,1992-93
QPR,-320000.0,-0.11104273198810982,1992-93
Norwich City,-494000.0,-0.17142221750664455,1992-93
Manchester City,-1272000.0,-0.44139485965273656,1992-93
Crystal Palace,-1360000.0,-0.47193161094946673,1992-93
Chelsea,-2180000.0,-0.7564786116689982,1992-93
Southampton,-2991000.0,-1.037902535551364,1992-93
Everton,-3330000.0,-1.1555384297512679,1992-93
Nottingham Forest,-3440000.0,-1.1937093688721805,1992-93
Tottenham Hotspur,-3900000.0,-1.3533332961050886,1992-93
Blackburn Rovers,11042000.0,3.1499133599612983,1993-94
Manchester City,7591000.0,2.1654584600132414,1993-94
Manchester United,7532000.0,2.1486277329495107,1993-94
Liverpool,3500000.0,0.9984329614077652,1993-94
Aston Villa,3099000.0,0.8840410706864755,1993-94
Sheffield Wednesday,2095000.0,0.5976334440426481,1993-94
Tottenham Hotspur,1593000.0,0.4544296307207343,1993-94
Swindon Town,1341000.0,0.38254245749937515,1993-94
Arsenal,900000.0,0.2567399043619968,1993-94
West Ham United,863000.0,0.2461850416271147,1993-94
Norwich City,625000.0,0.17829160025138663,1993-94
Everton,455000.0,0.12979628498300946,1993-94
Coventry City,305000.0,0.08700630092267668,1993-94
Newcastle United,257000.0,0.07331350602337018,1993-94
Wimbledon,233000.0,0.06646710857371695,1993-94
Oldham Athletic,-877000.0,-0.25017877347274575,1993-94
Southampton,-950000.0,-0.2710032323821077,1993-94
Chelsea,-1007000.0,-0.28726342632503415,1993-94
Ipswich Town,-1283000.0,-0.3659969969960465,1993-94
QPR,-2530000.0,-0.7217243978176131,1993-94
Leeds United,-3426000.0,-0.977323235938001,1993-94
Sheffield United,-3673000.0,-1.047784076357349,1993-94
Everton,9850000.0,2.016945078676315,1994-95
Tottenham Hotspur,9555000.0,1.9565391093149431,1994-95
Liverpool,9310000.0,1.9063714398453293,1994-95
Nottingham Forest,6460000.0,1.3227883460151264,1994-95
Manchester United,6303000.0,1.2906400843550065,1994-95
Blackburn Rovers,5734000.0,1.1741282315868011,1994-95
West Ham United,4708000.0,0.964038317807928,1994-95
Chelsea,4380000.0,0.896875070517996,1994-95
Arsenal,2980000.0,0.6102026735487734,1994-95
Leicester City,2865000.0,0.5866545837977302,1994-95
Newcastle United,2410000.0,0.49348605478273294,1994-95
Leeds United,2065000.0,0.4228417855296031,1994-95
Southampton,988000.0,0.20230880586113698,1994-95
Crystal Palace,379000.0,0.07760631317952522,1994-95
Coventry City,345000.0,0.07064426925312982,1994-95
Manchester City,-610000.0,-0.12490725867944692,1994-95
Ipswich Town,-1229000.0,-0.2516574113394103,1994-95
Aston Villa,-1598000.0,-0.3272160645405839,1994-95
Wimbledon,-2840000.0,-0.5815354338518512,1994-95
Sheffield Wednesday,-3876000.0,-0.7936730076090759,1994-95
QPR,-4779000.0,-0.9785767036542243,1994-95
Norwich City,-10036000.0,-2.0550315542736546,1994-95
Liverpool,17550000.0,1.8525116075138872,1995-96
Everton,17260000.0,1.8219003045977034,1995-96
Newcastle United,16365000.0,1.7274274904253428,1995-96
Arsenal,16150000.0,1.7047329037805856,1995-96
Middlesbrough,12625000.0,1.332647239023523,1995-96
Blackburn Rovers,8630000.0,0.9109501522988517,1995-96
Aston Villa,7687000.0,0.8114106397127778,1995-96
Sheffield Wednesday,6450000.0,0.6808375993427107,1995-96
Manchester City,4833000.0,0.5101531965307474,1995-96
Coventry City,4735000.0,0.4998086872694163,1995-96
Southampton,2117000.0,0.2234625112881424,1995-96
Bolton Wanderers,1491000.0,0.15738431947596615,1995-96
Chelsea,60000.0,0.006333373017141495,1995-96
Tottenham Hotspur,-480000.0,-0.05066698413713196,1995-96
West Ham United,-598000.0,-0.06312261773751023,1995-96
Leeds United,-1470000.0,-0.15516763891996663,1995-96
Wimbledon,-3770000.0,-0.3979469379103906,1995-96
QPR,-6803000.0,-0.7180989439268931,1995-96
Nottingham Forest,-10094000.0,-1.0654844539171042,1995-96
Manchester United,-19418000.0,-2.0496906207808925,1995-96
Newcastle United,21136000.0,2.2577145333621296,1996-97
Leeds United,15675000.0,1.67437903626284,1996-97
Aston Villa,14213000.0,1.5182104779842898,1996-97
Chelsea,11325000.0,1.2097188252425302,1996-97
West Ham United,11180000.0,1.1942301515418532,1996-97
Nottingham Forest,8980000.0,0.959229585048823,1996-97
Middlesbrough,6681000.0,0.7136539930636066,1996-97
Sunderland,5420000.0,0.5789559410873742,1996-97
Leicester City,4833000.0,0.5162535172094612,1996-97
Tottenham Hotspur,4152000.0,0.4435101600359369,1996-97
Manchester United,3242000.0,0.34630538025927443,1996-97
Derby County,2822000.0,0.3014416357469687,1996-97
Wimbledon,2520000.0,0.26918246707383453,1996-97
Coventry City,200000.0,0.02136368786300274,1996-97
Southampton,-1552000.0,-0.16578221781690128,1996-97
Everton,-2285000.0,-0.2440801338348063,1996-97
Sheffield Wednesday,-2873000.0,-0.3068893761520344,1996-97
Liverpool,-7000000.0,-0.7477290752050959,1996-97
Arsenal,-8510000.0,-0.9090249185707666,1996-97
Blackburn Rovers,-21921000.0,-2.3415670082244153,1996-97
Arsenal,20805000.0,2.2194984707920047,1997-98
Newcastle United,17045000.0,1.8183778627565355,1997-98
Liverpool,16030000.0,1.710096634789514,1997-98
Chelsea,15250000.0,1.626885444824709,1997-98
Bolton Wanderers,13002000.0,1.3870665281056307,1997-98
Manchester United,12305000.0,1.3127098622011832,1997-98
Tottenham Hotspur,11950000.0,1.2748381026659197,1997-98
West Ham United,10605000.0,1.131352140483019,1997-98
Leeds United,8380000.0,0.8939868870577745,1997-98
Crystal Palace,7635000.0,0.8145095325401085,1997-98
Barnsley,6305000.0,0.6726237855488387,1997-98
Sheffield Wednesday,5935000.0,0.6331518108219442,1997-98
Coventry City,5150000.0,0.5494072157932625,1997-98
Leicester City,1275000.0,0.13601829128862322,1997-98
Derby County,-815000.0,-0.08694502541194347,1997-98
Southampton,-1400000.0,-0.14935341788554707,1997-98
Aston Villa,-3350000.0,-0.35738139279755904,1997-98
Wimbledon,-6311000.0,-0.6732638716254911,1997-98
Everton,-6325000.0,-0.6747574058043465,1997-98
Blackburn Rovers,-17705000.0,-1.8887873311882935,1997-98
Manchester United,38200000.0,2.840777873995104,1998-99
Blackburn Rovers,34545000.0,2.5689704622293417,1998-99
Arsenal,17950000.0,1.3348681371259716,1998-99
Aston Villa,17070000.0,1.2694261337459796,1998-99
Everton,16806000.0,1.249793532731982,1998-99
Wimbledon,16750000.0,1.2456290416078006,1998-99
Chelsea,14680000.0,1.0916916018389562,1998-99
Newcastle United,11500000.0,0.8552079987158034,1998-99
Leeds United,10430000.0,0.7756364718787678,1998-99
Leicester City,8900000.0,0.6618566250931001,1998-99
Tottenham Hotspur,7980000.0,0.5934399851958359,1998-99
Liverpool,6350000.0,0.47222354711698716,1998-99
Charlton Athletic,3639000.0,0.27061755715885294,1998-99
Sheffield Wednesday,1480000.0,0.11006155113907731,1998-99
Middlesbrough,-1220000.0,-0.09072641377680699,1998-99
Coventry City,-5100000.0,-0.3792661559522259,1998-99
Southampton,-5300000.0,-0.3941393385385877,1998-99
West Ham United,-7915000.0,-0.5886062008552683,1998-99
Nottingham Forest,-9655000.0,-0.7180028893566159,1998-99
Derby County,-15200000.0,-1.1303618765634968,1998-99
Liverpool,37925000.0,3.3125192926565457,1999-00
Chelsea,19460000.0,1.699713261307749,1999-00
Tottenham Hotspur,15400000.0,1.3450968254953408,1999-00
Leeds United,13455000.0,1.1752128433142734,1999-00
Derby County,9450000.0,0.8254003247357774,1999-00
Manchester United,7600000.0,0.6638140177769215,1999-00
Newcastle United,4550000.0,0.397414971169078,1999-00
Aston Villa,4280000.0,0.3738321047480558,1999-00
Sheffield Wednesday,4173000.0,0.3644863021293544,1999-00
West Ham United,4105000.0,0.3585469135492451,1999-00
Coventry City,3430000.0,0.29958974749668954,1999-00
Watford,3158000.0,0.27583219317625235,1999-00
Southampton,2720000.0,0.2375755432043719,1999-00
Sunderland,2500000.0,0.21835987426872416,1999-00
Bradford City,1858000.0,0.16228505855651582,1999-00
Wimbledon,-430000.0,-0.03755789837422056,1999-00
Middlesbrough,-4230000.0,-0.3694649072626813,1999-00
Everton,-8300000.0,-0.7249547825721643,1999-00
Leicester City,-10275000.0,-0.8974590832444563,1999-00
Arsenal,-18900000.0,-1.6508006494715548,1999-00
Leeds United,41025000.0,2.9396854606066185,2000-01
Tottenham Hotspur,23285000.0,1.6685088592376627,2000-01
Middlesbrough,22799000.0,1.6336840662125605,2000-01
Charlton Athletic,20268000.0,1.4523228498616683,2000-01
Liverpool,17870000.0,1.280491875223407,2000-01
Sunderland,13565000.0,0.9720129987356192,2000-01
Manchester City,12550000.0,0.8992822067181734,2000-01
Chelsea,11791000.0,0.8448953385987237,2000-01
Derby County,5625000.0,0.4030647340868307,2000-01
Ipswich Town,5100000.0,0.36544535890539315,2000-01
Newcastle United,4860000.0,0.3482479302510217,2000-01
Aston Villa,2750000.0,0.19705386999800611,2000-01
Leicester City,2045000.0,0.14653642332579,2000-01
Manchester United,1820000.0,0.13041383396231676,2000-01
Southampton,-145000.0,-0.010390113145349412,2000-01
Everton,-1066000.0,-0.07638524560649983,2000-01
Bradford City,-1745000.0,-0.1250396375078257,2000-01
Coventry City,-4875000.0,-0.34932276954191993,2000-01
