TEAM,WAGE,WAGE_SCALED,SEASON
Chelsea,50000000.0,1.8327700000248548,2000-01
Manchester United,50000000.0,1.8327700000248548,2000-01
Liverpool,49000000.0,1.748860048216488,2000-01
Leeds United,43000000.0,1.245400337366287,2000-01
Arsenal,41000000.0,1.0775804337495531,2000-01
West Ham United,32000000.0,0.32239086747425144,2000-01
Newcastle United,27000000.0,-0.09715889156758283,2000-01
Everton,26000000.0,-0.18106884337594967,2000-01
Aston Villa,25000000.0,-0.26497879518431655,2000-01
Tottenham Hotspur,25000000.0,-0.26497879518431655,2000-01
Sunderland,23000000.0,-0.43279869880105026,2000-01
Leicester City,22000000.0,-0.5167086506094171,2000-01
Coventry City,19000000.0,-0.7684385060345177,2000-01
Derby County,19000000.0,-0.7684385060345177,2000-01
Ipswich Town,18000000.0,-0.8523484578428845,2000-01
Manchester City,18000000.0,-0.8523484578428845,2000-01
Charlton Athletic,17000000.0,-0.9362584096512514,2000-01
Southampton,16000000.0,-1.0201683614596182,2000-01
Bradford City,15000000.0,-1.104078313267985,2000-01
Manchester United,70000000.0,2.2078112065969933,2001-02
Arsenal,62000000.0,1.6734837885298217,2001-02
Chelsea,56000000.0,1.272738224979443,2001-02
Liverpool,56000000.0,1.272738224979443,2001-02
Leeds United,54000000.0,1.1391563704626502,2001-02
Tottenham Hotspur,37000000.0,0.003710607069910692,2001-02
West Ham United,33000000.0,-0.26345310196367505,2001-02
Newcastle United,32000000.0,-0.3302440292220715,2001-02
Fulham,31000000.0,-0.39703495648046794,2001-02
Aston Villa,31000000.0,-0.39703495648046794,2001-02
Blackburn Rovers,30000000.0,-0.46382588373886435,2001-02
Middlesbrough,30000000.0,-0.46382588373886435,2001-02
Everton,29000000.0,-0.5306168109972608,2001-02
Sunderland,26000000.0,-0.7309895927724501,2001-02
Ipswich Town,24000000.0,-0.864571447289243,2001-02
Southampton,23000000.0,-0.9313623745476395,2001-02
Charlton Athletic,22000000.0,-0.9981533018060359,2001-02
Bolton Wanderers,19000000.0,-1.1985260835812253,2001-02
Manchester United,80000000.0,2.6038736380007763,2002-03
Arsenal,61000000.0,1.4033648470451183,2002-03
Leeds United,57000000.0,1.1506261542123482,2002-03
Chelsea,54000000.0,0.9610721345877706,2002-03
Liverpool,54000000.0,0.9610721345877706,2002-03
Newcastle United,45000000.0,0.3924100757140379,2002-03
Tottenham Hotspur,38000000.0,-0.04988263674330974,2002-03
Fulham,36000000.0,-0.1762519831596948,2002-03
Blackburn Rovers,36000000.0,-0.1762519831596948,2002-03
Manchester City,35000000.0,-0.2394366563678873,2002-03
Sunderland,34000000.0,-0.30262132957607984,2002-03
West Ham United,33000000.0,-0.3658060027842724,2002-03
Aston Villa,32000000.0,-0.4289906759924649,2002-03
Everton,30000000.0,-0.55536002240885,2002-03
Middlesbrough,29000000.0,-0.6185446956170425,2002-03
Southampton,27000000.0,-0.7449140420334275,2002-03
Charlton Athletic,24000000.0,-0.9344680616580051,2002-03
Birmingham City,20000000.0,-1.1872067544907752,2002-03
West Bromwich Albion,12000000.0,-1.6926841401563153,2002-03
Chelsea,115000000.0,3.2104502173519807,2003-04
Manchester United,77000000.0,1.569601417629381,2003-04
Arsenal,70000000.0,1.2673397966278497,2003-04
Liverpool,66000000.0,1.0946188703412603,2003-04
Newcastle United,45000000.0,0.18783400733666597,2003-04
Manchester City,38000000.0,-0.11442761366486548,2003-04
Leeds United,37000000.0,-0.15760784523651283,2003-04
Tottenham Hotspur,35000000.0,-0.24396830837980754,2003-04
Aston Villa,34000000.0,-0.2871485399514549,2003-04
Everton,33000000.0,-0.33032877152310225,2003-04
Blackburn Rovers,31000000.0,-0.41668923466639696,2003-04
Fulham,31000000.0,-0.41668923466639696,2003-04
Charlton Athletic,30000000.0,-0.4598694662380443,2003-04
Middlesbrough,29000000.0,-0.5030496978096917,2003-04
Portsmouth,26000000.0,-0.6325903925246337,2003-04
Southampton,26000000.0,-0.6325903925246337,2003-04
Leicester City,24000000.0,-0.7189508556679284,2003-04
Bolton Wanderers,24000000.0,-0.7189508556679284,2003-04
Birmingham City,23000000.0,-0.7621310872395758,2003-04
Wolverhampton Wanderers,19000000.0,-0.9348520135261651,2003-04
Chelsea,109000000.0,3.0415033451397524,2004-05
Manchester United,77000000.0,1.623379086056187,2004-05
Arsenal,66000000.0,1.1358988719962113,2004-05
Liverpool,64000000.0,1.0472661058034884,2004-05
Newcastle United,50000000.0,0.4268367424544285,2004-05
Manchester City,38000000.0,-0.10495985470190866,2004-05
Fulham,34000000.0,-0.2822253870873544,2004-05
Aston Villa,33000000.0,-0.32654177018371583,2004-05
Tottenham Hotspur,33000000.0,-0.32654177018371583,2004-05
Blackburn Rovers,31000000.0,-0.41517453637643864,2004-05
Everton,31000000.0,-0.41517453637643864,2004-05
Charlton Athletic,29000000.0,-0.5038073025691615,2004-05
Middlesbrough,29000000.0,-0.5038073025691615,2004-05
Southampton,28000000.0,-0.5481236856655229,2004-05
Birmingham City,27000000.0,-0.5924400687618844,2004-05
Bolton Wanderers,25000000.0,-0.6810728349546072,2004-05
Portsmouth,25000000.0,-0.6810728349546072,2004-05
West Bromwich Albion,21000000.0,-0.858338367340053,2004-05
Norwich City,17000000.0,-1.0356038997254986,2004-05
Chelsea,114000000.0,2.788094321964152,2005-06
Manchester United,85000000.0,1.6467570475196884,2005-06
Arsenal,83000000.0,1.5680441320407599,2005-06
Liverpool,69000000.0,1.0170537236882604,2005-06
Newcastle United,52000000.0,0.34799394211736817,2005-06
Tottenham Hotspur,41000000.0,-0.08492709301673856,2005-06
Aston Villa,38000000.0,-0.20299646623513132,2005-06
Everton,37000000.0,-0.24235292397459557,2005-06
Charlton Athletic,34000000.0,-0.3604222971929883,2005-06
Manchester City,34000000.0,-0.3604222971929883,2005-06
Blackburn Rovers,33000000.0,-0.3997787549324526,2005-06
West Ham United,31000000.0,-0.478491670411381,2005-06
Fulham,30000000.0,-0.5178481281508452,2005-06
Bolton Wanderers,29000000.0,-0.5572045858903095,2005-06
Birmingham City,27000000.0,-0.6359175013692381,2005-06
Portsmouth,25000000.0,-0.7146304168481665,2005-06
Wigan Athletic,21000000.0,-0.8720562478060235,2005-06
West Bromwich Albion,20000000.0,-0.9114127055454878,2005-06
Sunderland,17000000.0,-1.0294820787638805,2005-06
Chelsea,133000000.0,3.018483521548318,2006-07
Manchester United,92000000.0,1.5530267496894543,2006-07
Arsenal,90000000.0,1.481541053501217,2006-07
Liverpool,78000000.0,1.0526268763717936,2006-07
Newcastle United,63000000.0,0.5164841549600142,2006-07
Tottenham Hotspur,44000000.0,-0.16262995882823975,2006-07
West Ham United,44000000.0,-0.16262995882823975,2006-07
Aston Villa,43000000.0,-0.1983728069223584,2006-07
Middlesbrough,38000000.0,-0.3770870473929515,2006-07
Blackburn Rovers,38000000.0,-0.3770870473929515,2006-07
Everton,38000000.0,-0.3770870473929515,2006-07
Portsmouth,37000000.0,-0.41282989548707016,2006-07
Manchester City,36000000.0,-0.44857274358118876,2006-07
Fulham,35000000.0,-0.4843155916753074,2006-07
Charlton Athletic,34000000.0,-0.520058439769426,2006-07
Bolton Wanderers,30000000.0,-0.6630298321459005,2006-07
Reading,30000000.0,-0.6630298321459005,2006-07
Wigan Athletic,28000000.0,-0.7345155283341378,2006-07
Sheffield United,22000000.0,-0.9489726168988496,2006-07
Watford,18000000.0,-1.091944009275324,2006-07
Chelsea,172000000.0,3.1637997724703135,2007-08
Manchester United,121000000.0,1.733358385981076,2007-08
Arsenal,101000000.0,1.1724009795147083,2007-08
Liverpool,90000000.0,0.8638744059582062,2007-08
Newcastle United,75000000.0,0.44315635110843044,2007-08
Portsmouth,55000000.0,-0.1178010553579372,2007-08
West Ham United,54000000.0,-0.14584892568125557,2007-08
Manchester City,54000000.0,-0.14584892568125557,2007-08
Tottenham Hotspur,53000000.0,-0.17389679600457397,2007-08
Aston Villa,50000000.0,-0.2580404069745291,2007-08
Everton,45000000.0,-0.398279758591121,2007-08
Blackburn Rovers,40000000.0,-0.5385191102077129,2007-08
Fulham,39000000.0,-0.5665669805310313,2007-08
Bolton Wanderers,39000000.0,-0.5665669805310313,2007-08
Wigan Athletic,38000000.0,-0.5946148508543497,2007-08
Sunderland,37000000.0,-0.6226627211776681,2007-08
Middlesbrough,35000000.0,-0.6787584618243049,2007-08
Reading,33000000.0,-0.7348542024709416,2007-08
Birmingham City,27000000.0,-0.9031414244108519,2007-08
Derby County,26000000.0,-0.9311892947341702,2007-08
Chelsea,167000000.0,2.897511587653105,2008-09
Manchester United,123000000.0,1.6302102968306735,2008-09
Liverpool,107000000.0,1.1693734638043347,2008-09
Arsenal,104000000.0,1.082966557611896,2008-09
Manchester City,83000000.0,0.4781182142648265,2008-09
Newcastle United,73000000.0,0.19009519362336474,2008-09
Aston Villa,71000000.0,0.1324905894950724,2008-09
West Ham United,70000000.0,0.10368828743092623,2008-09
Portsmouth,65000000.0,-0.040323222889804645,2008-09
Tottenham Hotspur,63000000.0,-0.09792782701809699,2008-09
Everton,49000000.0,-0.5011600559161434,2008-09
Sunderland,49000000.0,-0.5011600559161434,2008-09
Fulham,46000000.0,-0.587566962108582,2008-09
Blackburn Rovers,46000000.0,-0.587566962108582,2008-09
Wigan Athletic,42000000.0,-0.7027761703651666,2008-09
Bolton Wanderers,41000000.0,-0.7315784724293128,2008-09
Hull City,34000000.0,-0.933194586878336,2008-09
Middlesbrough,34000000.0,-0.933194586878336,2008-09
West Bromwich Albion,31000000.0,-1.0196014930707746,2008-09
Stoke City,30000000.0,-1.0484037951349208,2008-09
Chelsea,174000000.0,2.641009743950478,2009-10
Manchester City,133000000.0,1.6537777551219115,2009-10
Manchester United,131000000.0,1.6056200971302739,2009-10
Liverpool,121000000.0,1.364831807172087,2009-10
Arsenal,110000000.0,1.0999646882180814,2009-10
Aston Villa,80000000.0,0.3775998183435204,2009-10
Tottenham Hotspur,67000000.0,0.06457504139787737,2009-10
West Ham United,54000000.0,-0.2484497355477657,2009-10
Sunderland,54000000.0,-0.2484497355477657,2009-10
Everton,54000000.0,-0.2484497355477657,2009-10
Fulham,49000000.0,-0.3688438805268592,2009-10
Blackburn Rovers,47000000.0,-0.4170015385184966,2009-10
Newcastle United,47000000.0,-0.4170015385184966,2009-10
Bolton Wanderers,46000000.0,-0.4410803675143153,2009-10
Stoke City,45000000.0,-0.465159196510134,2009-10
Wigan Athletic,39000000.0,-0.6096321704850461,2009-10
Birmingham City,38000000.0,-0.6337109994808648,2009-10
Hull City,38000000.0,-0.6337109994808648,2009-10
Wolverhampton Wanderers,30000000.0,-0.8263416314474145,2009-10
West Bromwich Albion,23000000.0,-0.9948934344181453,2009-10
Burnley,22000000.0,-1.018972263413964,2009-10
Blackpool,13000000.0,-1.2356817243763323,2009-10
Chelsea,190000000.0,2.435659999770881,2010-11
Manchester City,174000000.0,2.1079368261271205,2010-11
Manchester United,153000000.0,1.6778001607196855,2010-11
Liverpool,135000000.0,1.3091115903704553,2010-11
Arsenal,124000000.0,1.08380190849037,2010-11
Tottenham Hotspur,91000000.0,0.4078728628501147,2010-11
Aston Villa,83000000.0,0.2440112760282346,2010-11
Sunderland,61000000.0,-0.20660808773193567,2010-11
Everton,58000000.0,-0.2680561827901407,2010-11
Fulham,58000000.0,-0.2680561827901407,2010-11
Bolton Wanderers,56000000.0,-0.3090215794956107,2010-11
