,TEAM,SEASON,EST_TEAM_MARKET_VALUE
61,Chelsea,2003-04,374366000.0
80,Chelsea,2004-05,360542000.0
25,Chelsea,2001-02,240764000.0
5,Chelsea,2000-01,239139000.0
82,Manchester United,2004-05,235772000.0
43,Chelsea,2002-03,223789000.0
22,Manchester United,2001-02,220421000.0
40,Manchester United,2002-03,219984000.0
62,Manchester United,2003-04,208030000.0
60,Arsenal,2003-04,182239000.0
81,Arsenal,2004-05,181973000.0
49,Tottenham Hotspur,2002-03,175996000.0
84,Liverpool,2004-05,170492000.0
0,Manchester United,2000-01,170072000.0
88,Tottenham Hotspur,2004-05,167770000.0
63,Liverpool,2003-04,166665000.0
73,Tottenham Hotspur,2003-04,161383000.0
28,Tottenham Hotspur,2001-02,156148000.0
41,Arsenal,2002-03,149424000.0
21,Liverpool,2001-02,146879000.0
48,Manchester City,2002-03,146318000.0
11,Tottenham Hotspur,2000-01,145899000.0
20,Arsenal,2001-02,141454000.0
44,Liverpool,2002-03,140700000.0
2,Liverpool,2000-01,139748000.0
75,Manchester City,2003-04,135209000.0
46,Everton,2002-03,121343000.0
99,Southampton,2004-05,113013000.0
34,Everton,2001-02,110502000.0
1,Arsenal,2000-01,109338000.0
15,Everton,2000-01,106381000.0
31,Middlesbrough,2001-02,105569000.0
76,Everton,2003-04,105384000.0
3,Leeds United,2000-01,104249000.0
87,Manchester City,2004-05,102934000.0
42,Newcastle United,2002-03,99523000.0
71,Southampton,2003-04,96810000.0
47,Southampton,2002-03,96109000.0
72,Portsmouth,2003-04,95124000.0
54,Leeds United,2002-03,94231000.0
17,Manchester City,2000-01,93713000.0
93,Newcastle United,2004-05,93494000.0
83,Everton,2004-05,92784000.0
24,Leeds United,2001-02,92629000.0
70,Middlesbrough,2003-04,91684000.0
14,West Ham United,2000-01,91241000.0
50,Middlesbrough,2002-03,90525000.0
10,Newcastle United,2000-01,88505000.0
23,Newcastle United,2001-02,86727000.0
26,West Ham United,2001-02,85176000.0
30,Southampton,2001-02,81719000.0
86,Middlesbrough,2004-05,80930000.0
59,Sunderland,2002-03,80242000.0
91,Birmingham City,2004-05,77784000.0
57,West Ham United,2002-03,76551000.0
55,Aston Villa,2002-03,76481000.0
52,Birmingham City,2002-03,73907000.0
65,Aston Villa,2003-04,70684000.0
95,Portsmouth,2004-05,68187000.0
64,Newcastle United,2003-04,65333000.0
53,Fulham,2002-03,64087000.0
78,Leeds United,2003-04,62624000.0
9,Southampton,2000-01,62241000.0
36,Sunderland,2001-02,60921000.0
94,Blackburn Rovers,2004-05,57917000.0
68,Fulham,2003-04,57455000.0
6,Sunderland,2000-01,56538000.0
89,Aston Villa,2004-05,56402000.0
69,Birmingham City,2003-04,56274000.0
27,Aston Villa,2001-02,53613000.0
16,Derby County,2000-01,53117000.0
92,Fulham,2004-05,52004000.0
35,Bolton Wanderers,2001-02,49386000.0
85,Bolton Wanderers,2004-05,48342000.0
79,Wolverhampton Wanderers,2003-04,44591000.0
74,Blackburn Rovers,2003-04,44073000.0
45,Blackburn Rovers,2002-03,43499000.0
67,Bolton Wanderers,2003-04,42639000.0
