TEAM,WAGE,WAGE_SCALED,SEASON
Chelsea,50000000.0,4.195497590418343,2000-01
Manchester United,50000000.0,4.195497590418343,2000-01
Liverpool,49000000.0,4.111587638609976,2000-01
Leeds United,43000000.0,3.608127927759775,2000-01
Arsenal,41000000.0,3.4403080241430413,2000-01
West Ham United,32000000.0,2.6851184578677394,2000-01
Newcastle United,27000000.0,2.265568698825905,2000-01
Everton,26000000.0,2.181658747017538,2000-01
Aston Villa,25000000.0,2.0977487952091716,2000-01
Tottenham Hotspur,25000000.0,2.0977487952091716,2000-01
Sunderland,23000000.0,1.9299288915924377,2000-01
Leicester City,22000000.0,1.846018939784071,2000-01
Coventry City,19000000.0,1.5942890843589703,2000-01
Derby County,19000000.0,1.5942890843589703,2000-01
Ipswich Town,18000000.0,1.5103791325506035,2000-01
Manchester City,18000000.0,1.5103791325506035,2000-01
Charlton Athletic,17000000.0,1.4264691807422365,2000-01
Southampton,16000000.0,1.3425592289338697,2000-01
Bradford City,15000000.0,1.258649277125503,2000-01
Manchester United,70000000.0,4.675364908087751,2001-02
Arsenal,62000000.0,4.1410374900205795,2001-02
Chelsea,56000000.0,3.7402919264702006,2001-02
Liverpool,56000000.0,3.7402919264702006,2001-02
Leeds United,54000000.0,3.6067100719534078,2001-02
Tottenham Hotspur,37000000.0,2.4712643085606683,2001-02
West Ham United,33000000.0,2.2041005995270826,2001-02
Newcastle United,32000000.0,2.137309672268686,2001-02
Fulham,31000000.0,2.0705187450102898,2001-02
Aston Villa,31000000.0,2.0705187450102898,2001-02
Blackburn Rovers,30000000.0,2.0037278177518933,2001-02
Middlesbrough,30000000.0,2.0037278177518933,2001-02
Everton,29000000.0,1.9369368904934967,2001-02
Sunderland,26000000.0,1.7365641087183075,2001-02
Ipswich Town,24000000.0,1.6029822542015144,2001-02
Southampton,23000000.0,1.536191326943118,2001-02
Charlton Athletic,22000000.0,1.4694003996847216,2001-02
Bolton Wanderers,19000000.0,1.2690276179095323,2001-02
Manchester United,80000000.0,5.054773856655402,2002-03
Arsenal,61000000.0,3.854265065699744,2002-03
Leeds United,57000000.0,3.601526372866974,2002-03
Chelsea,54000000.0,3.4119723532423962,2002-03
Liverpool,54000000.0,3.4119723532423962,2002-03
Newcastle United,45000000.0,2.8433102943686634,2002-03
Tottenham Hotspur,38000000.0,2.401017581911316,2002-03
Fulham,36000000.0,2.2746482354949307,2002-03
Blackburn Rovers,36000000.0,2.2746482354949307,2002-03
Manchester City,35000000.0,2.2114635622867382,2002-03
Sunderland,34000000.0,2.148278889078546,2002-03
West Ham United,33000000.0,2.0850942158703534,2002-03
Aston Villa,32000000.0,2.021909542662161,2002-03
Everton,30000000.0,1.8955401962457756,2002-03
Middlesbrough,29000000.0,1.8323555230375832,2002-03
Southampton,27000000.0,1.7059861766211981,2002-03
Charlton Athletic,24000000.0,1.5164321569966206,2002-03
Birmingham City,20000000.0,1.2636934641638504,2002-03
West Bromwich Albion,12000000.0,0.7582160784983103,2002-03
Chelsea,115000000.0,4.965726630739446,2003-04
Manchester United,77000000.0,3.324877831016846,2003-04
Arsenal,70000000.0,3.0226162100153147,2003-04
Liverpool,66000000.0,2.849895283728725,2003-04
Newcastle United,45000000.0,1.9431104207241308,2003-04
Manchester City,38000000.0,1.6408487997225993,2003-04
Leeds United,37000000.0,1.597668568150952,2003-04
Tottenham Hotspur,35000000.0,1.5113081050076573,2003-04
Aston Villa,34000000.0,1.46812787343601,2003-04
Everton,33000000.0,1.4249476418643625,2003-04
Blackburn Rovers,31000000.0,1.338587178721068,2003-04
Fulham,31000000.0,1.338587178721068,2003-04
Charlton Athletic,30000000.0,1.2954069471494205,2003-04
Middlesbrough,29000000.0,1.252226715577773,2003-04
Portsmouth,26000000.0,1.122686020862831,2003-04
Southampton,26000000.0,1.122686020862831,2003-04
Leicester City,24000000.0,1.0363255577195365,2003-04
Bolton Wanderers,24000000.0,1.0363255577195365,2003-04
Birmingham City,23000000.0,0.9931453261478891,2003-04
Wolverhampton Wanderers,19000000.0,0.8204243998612997,2003-04
Chelsea,109000000.0,4.8304857575033955,2004-05
Manchester United,77000000.0,3.41236149841983,2004-05
Arsenal,66000000.0,2.9248812843598544,2004-05
Liverpool,64000000.0,2.8362485181671313,2004-05
Newcastle United,50000000.0,2.2158191548180715,2004-05
Manchester City,38000000.0,1.6840225576617343,2004-05
Fulham,34000000.0,1.5067570252762885,2004-05
Aston Villa,33000000.0,1.4624406421799272,2004-05
Tottenham Hotspur,33000000.0,1.4624406421799272,2004-05
Blackburn Rovers,31000000.0,1.3738078759872043,2004-05
Everton,31000000.0,1.3738078759872043,2004-05
Charlton Athletic,29000000.0,1.2851751097944815,2004-05
Middlesbrough,29000000.0,1.2851751097944815,2004-05
Southampton,28000000.0,1.24085872669812,2004-05
Birmingham City,27000000.0,1.1965423436017586,2004-05
Bolton Wanderers,25000000.0,1.1079095774090357,2004-05
Portsmouth,25000000.0,1.1079095774090357,2004-05
West Bromwich Albion,21000000.0,0.93064404502359,2004-05
Norwich City,17000000.0,0.7533785126381443,2004-05
Chelsea,114000000.0,4.486636182298924,2005-06
Manchester United,85000000.0,3.345298907854461,2005-06
Arsenal,83000000.0,3.2665859923755325,2005-06
Liverpool,69000000.0,2.715595584023033,2005-06
Newcastle United,52000000.0,2.0465358024521407,2005-06
Tottenham Hotspur,41000000.0,1.613614767318034,2005-06
Aston Villa,38000000.0,1.4955453940996415,2005-06
Everton,37000000.0,1.4561889363601772,2005-06
Charlton Athletic,34000000.0,1.3381195631417844,2005-06
Manchester City,34000000.0,1.3381195631417844,2005-06
Blackburn Rovers,33000000.0,1.29876310540232,2005-06
West Ham United,31000000.0,1.2200501899233918,2005-06
Fulham,30000000.0,1.1806937321839275,2005-06
Bolton Wanderers,29000000.0,1.1413372744444632,2005-06
Birmingham City,27000000.0,1.0626243589655346,2005-06
Portsmouth,25000000.0,0.9839114434866062,2005-06
Wigan Athletic,21000000.0,0.8264856125287492,2005-06
West Bromwich Albion,20000000.0,0.7871291547892849,2005-06
Sunderland,17000000.0,0.6690597815708922,2005-06
Chelsea,133000000.0,4.753798796517778,2006-07
Manchester United,92000000.0,3.2883420246589137,2006-07
Arsenal,90000000.0,3.2168563284706764,2006-07
Liverpool,78000000.0,2.787942151341253,2006-07
Newcastle United,63000000.0,2.2517994299294735,2006-07
Tottenham Hotspur,44000000.0,1.5726853161412195,2006-07
West Ham United,44000000.0,1.5726853161412195,2006-07
Aston Villa,43000000.0,1.5369424680471009,2006-07
Middlesbrough,38000000.0,1.3582282275765079,2006-07
Blackburn Rovers,38000000.0,1.3582282275765079,2006-07
Everton,38000000.0,1.3582282275765079,2006-07
