TEAM,SEASON,WAGE
Arsenal,2009-10,110000000.0
Aston Villa,2009-10,80000000.0
Birmingham City,2009-10,38000000.0
Blackburn Rovers,2009-10,47000000.0
Blackpool,2009-10,13000000.0
Bolton Wanderers,2009-10,46000000.0
Chelsea,2009-10,174000000.0
Everton,2009-10,54000000.0
Fulham,2009-10,49000000.0
Liverpool,2009-10,121000000.0
Manchester City,2009-10,133000000.0
Manchester United,2009-10,131000000.0
Newcastle United,2009-10,47000000.0
Stoke City,2009-10,45000000.0
Sunderland,2009-10,54000000.0
Tottenham,2009-10,67000000.0
West Bromwich Albion,2009-10,23000000.0
Wigan Athletic,2009-10,39000000.0
Wolverhampton Wanderers,2009-10,30000000.0
Arsenal,2010-11,124000000.0
Aston Villa,2010-11,83000000.0
Birmingham City,2010-11,38000000.0
Blackburn Rovers,2010-11,50000000.0
Blackpool,2010-11,25000000.0
Bolton Wanderers,2010-11,56000000.0
Chelsea,2010-11,190000000.0
Everton,2010-11,58000000.0
Fulham,2010-11,58000000.0
Liverpool,2010-11,135000000.0
Manchester City,2010-11,174000000.0
Manchester United,2010-11,153000000.0
Newcastle United,2010-11,54000000.0
Norwich City,2010-11,18000000.0
QPR,2010-11,30000000.0
Stoke City,2010-11,47000000.0
Sunderland,2010-11,61000000.0
Swansea City,2010-11,17000000.0
Tottenham,2010-11,91000000.0
West Bromwich Albion,2010-11,39000000.0
West Ham United,2010-11,56000000.0
Wigan Athletic,2010-11,40000000.0
Wolverhampton Wanderers,2010-11,38000000.0
Arsenal,2011-12,143000000.0
Aston Villa,2011-12,70000000.0
Blackburn Rovers,2011-12,50000000.0
Bolton Wanderers,2011-12,55000000.0
Chelsea,2011-12,173000000.0
Everton,2011-12,63000000.0
Fulham,2011-12,62000000.0
Liverpool,2011-12,119000000.0
Manchester City,2011-12,202000000.0
Manchester United,2011-12,162000000.0
Newcastle United,2011-12,64000000.0
Norwich City,2011-12,37000000.0
QPR,2011-12,58000000.0
Southampton,2011-12,29000000.0
Stoke City,2011-12,53000000.0
Sunderland,2011-12,64000000.0
Swansea City,2011-12,35000000.0
Tottenham,2011-12,90000000.0
West Bromwich Albion,2011-12,50000000.0
West Ham United,2011-12,42000000.0
Wigan Athletic,2011-12,38000000.0
Wolverhampton Wanderers,2011-12,38000000.0
Arsenal,2012-13,154000000.0
Aston Villa,2012-13,72000000.0
Cardiff City,2012-13,33000000.0
Chelsea,2012-13,179000000.0
Crystal Palace,2012-13,19000000.0
Everton,2012-13,63000000.0
Fulham,2012-13,67000000.0
Hull City,2012-13,26000000.0
Liverpool,2012-13,132000000.0
Manchester City,2012-13,233000000.0
Manchester United,2012-13,181000000.0
Newcastle United,2012-13,62000000.0
Norwich City,2012-13,51000000.0
QPR,2012-13,78000000.0
Southampton,2012-13,47000000.0
Stoke City,2012-13,60000000.0
Sunderland,2012-13,58000000.0
Swansea City,2012-13,49000000.0
Tottenham,2012-13,96000000.0
West Bromwich Albion,2012-13,54000000.0
West Ham United,2012-13,57000000.0
Wigan Athletic,2012-13,44000000.0
Arsenal,2013-14,166000000.0
Aston Villa,2013-14,69000000.0
Burnley,2013-14,22000000.0
Cardiff City,2013-14,53000000.0
Chelsea,2013-14,192000000.0
Crystal Palace,2013-14,46000000.0
Everton,2013-14,69000000.0
Fulham,2013-14,69000000.0
Hull City,2013-14,43000000.0
Leicester City,2013-14,36000000.0
Liverpool,2013-14,144000000.0
Manchester City,2013-14,205000000.0
Manchester United,2013-14,215000000.0
Newcastle United,2013-14,78000000.0
Norwich City,2013-14,54000000.0
QPR,2013-14,75000000.0
Southampton,2013-14,63000000.0
Stoke City,2013-14,61000000.0
Sunderland,2013-14,70000000.0
Swansea City,2013-14,63000000.0
Tottenham,2013-14,100000000.0
West Bromwich Albion,2013-14,65000000.0
West Ham United,2013-14,64000000.0
Arsenal,2014-15,192000000.0
Aston Villa,2014-15,84000000.0
Burnley,2014-15,29000000.0
Chelsea,2014-15,217000000.0
Crystal Palace,2014-15,68000000.0
Everton,2014-15,78000000.0
Hull City,2014-15,56000000.0
Leicester City,2014-15,57000000.0
Liverpool,2014-15,166000000.0
Manchester City,2014-15,194000000.0
Manchester United,2014-15,203000000.0
Newcastle United,2014-15,65000000.0
QPR,2014-15,73000000.0
Southampton,2014-15,80000000.0
Stoke City,2014-15,67000000.0
Sunderland,2014-15,77000000.0
Swansea City,2014-15,83000000.0
Tottenham,2014-15,101000000.0
West Bromwich Albion,2014-15,70000000.0
West Ham United,2014-15,73000000.0
Arsenal,2015-16,192000000.0
Chelsea,2015-16,215600000.0
Crystal Palace,2015-16,54300000.0
Everton,2015-16,74700000.0
Leicester City,2015-16,48200000.0
Liverpool,2015-16,152000000.0
Manchester City,2015-16,193800000.0
Manchester United,2015-16,203000000.0
Southampton,2015-16,59500000.0
Stoke City,2015-16,72300000.0
Sunderland,2015-16,71000000.0
Swansea City,2015-16,51000000.0
Tottenham,2015-16,110500000.0
West Bromwich Albion,2015-16,68500000.0
West Ham United,2015-16,69500000.0
Arsenal,2016-17,200500000.0
Burnley,2016-17,33000000.0
Chelsea,2016-17,218000000.0
Crystal Palace,2016-17,55000000.0
Everton,2016-17,83000000.0
Hull City,2016-17,25000000.0
Leicester City,2016-17,66000000.0
Liverpool,2016-17,165600000.0
Manchester City,2016-17,225000000.0
Manchester United,2016-17,220800000.0
Southampton,2016-17,63600000.0
Stoke City,2016-17,75900000.0
Sunderland,2016-17,68300000.0
Swansea City,2016-17,59000000.0
Tottenham,2016-17,121200000.0
West Bromwich Albion,2016-17,65000000.0
West Ham United,2016-17,79800000.0
Arsenal,2000-01,41000000.0
