NO#,CLUB,2013-14,2014-15,2015-16,2016-17
1,Manchester City,£216m,£205m,£193.8m,£225m
2,Manchester United,£187m,£215.8m,£203m,£220.8m
3,Chelsea,£190m,£192.7m,£215.6m,£218m
4,Arsenal,£166.4m,£180.4m,£192m,£200.5m
5,Liverpool,£140m,£144m,£152m,£165.6m
6,Tottenham,£112m,£100.4m,£110.5m,£121.2m
7,Everton,£66m,£69.3m,£74.7m,£83m
8,West Ham United,£60m,£63.9m,£69.5m,£79.8m
9,Stoke City,£55m,£60.6m,£72.3m,£75.9m
10,Sunderland,£55m,£69.5m,£71m,£68.3m
11,Leicester City,,£36.6m,£48.2m,£66m
12,West Bromwich,£49m,£65.4m,£68.5m,£65m
13,Southampton,£47m,£55.2m,£59.5m,£63.6m
14,Swansea City,£55m,£48.1m,£51m,£59m
15,Crystal Palace,,£45.7m,£54.3m,£55m
16,Watford,,,£29m,£41m
17,Bournemouth,,,£25m,£34m
18,Middlesbrough,,,,£34m
19,Burnley,,£29m,,£33m
20,Hull City,,£34m,,£25m
