TEAM,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17
Arsenal,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Aston Villa,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,0
Birmingham City,0,0,0,0,0,0,0,0,0,0,1,2,3,4,0,1,0,1,2,0,0,0,0,0,0
Blackburn Rovers,1,2,3,4,5,6,7,0,0,1,2,3,4,5,6,7,8,9,10,11,0,0,0,0,0
Blackpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bolton Wanderers,0,0,0,1,0,1,0,0,0,1,2,3,4,5,6,7,8,9,10,11,0,0,0,0,0
Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Bradford City,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
Cardiff City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Charlton Athletic,0,0,0,0,0,0,1,0,1,2,3,4,5,6,7,0,0,0,0,0,0,0,0,0,0
Chelsea,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Coventry City,1,2,3,4,5,6,7,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crystal Palace,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,3,4
Derby County,0,0,0,0,1,2,3,4,5,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Everton,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Fulham,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,0,0,0
Hull City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,2,0,1
Ipswich Town,1,2,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leeds United,1,2,3,4,5,6,7,8,9,10,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Leicester City,0,0,1,0,1,2,3,4,5,6,0,1,0,0,0,0,0,0,0,0,0,0,1,2,3
Liverpool,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Manchester City,1,2,3,4,0,0,0,0,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Manchester United,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Middlesbrough,1,0,0,1,2,0,1,2,3,4,5,6,7,8,9,10,11,0,0,0,0,0,0,0,1
Newcastle United,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,0,1,2,3,4,5,6,0
Norwich City,1,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,3,0,1,0
Portsmouth,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,0,0,0,0,0,0,0
QPR,1,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0
Reading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0
Sheffield United,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Southampton,1,2,3,4,5,6,7,8,9,10,11,12,13,0,0,0,0,0,0,0,1,2,3,4,5
Stoke City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9
Sunderland,0,0,0,0,1,0,0,1,2,3,4,0,0,1,0,1,2,3,4,5,6,7,8,9,10
Swansea City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6
Tottenham Hotspur,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Watford,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2
West Bromwich Albion,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,0,1,2,3,4,5,6,7
West Ham United,0,1,2,3,4,5,6,7,8,9,10,0,0,1,2,3,4,5,6,0,1,2,3,4,5
Wigan Athletic,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,0,0,0,0
Wolverhampton Wanderers,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,3,0,0,0,0,0
